name ,,SITE_NAME (MS names),Licence Site ID (SEPA site name),Site ID ,Remarks,LAT,LONG,Nat Grid,Year of highest production DURING APRIL and MAY ,CAR licensed peak biomass,biomass 1st May of 1st year of production,biomass 1st May of 2nd year of production,Operator,Production cycle regularity of cycle timing ,Model now (GO),Map but do not model (NOGO) includes farms not used for ten years,Map but model in second phase (WAIT),Production in 3 years to 2021,Licence but never stocked,Any production more than 3 years ago but less than ten years (to 2021)?,01/01/2002,02/01/2002,02/02/2002,03/01/2002,03/02/2002,03/03/2002,04/01/2002,04/02/2002,05/01/2002,05/02/2002,06/01/2002,06/02/2002,07/01/2002,07/02/2002,08/01/2002,08/02/2002,08/03/2002,09/01/2002,09/02/2002,09/03/2002,10/01/2002,10/02/2002,11/01/2002,11/02/2002,11/03/2002,12/01/2002,12/02/2002,12/03/2002,01/01/2003,01/02/2003,01/03/2003,01/09/2003,02/01/2003,02/02/2003,02/03/2003,03/01/2003,03/02/2003,03/03/2003,04/01/2003,04/03/2003,05/01/2003,05/03/2003,06/01/2003,06/03/2003,06/09/2003,07/01/2003,07/03/2003,07/09/2003,08/01/2003,08/03/2003,09/01/2003,09/03/2003,10/01/2003,10/03/2003,10/09/2003,11/01/2003,11/03/2003,12/01/2003,12/03/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,02/01/2004,02/04/2004,03/01/2004,03/03/2004,03/04/2004,04/01/2004,04/04/2004,05/01/2004,06/01/2004,07/01/2004,08/01/2004,09/01/2004,10/01/2004,11/01/2004,12/01/2004,01/01/2005,02/01/2005,03/01/2005,04/01/2005,05/01/2005,06/01/2005,07/01/2005,08/01/2005,08/10/2005,09/01/2005,10/01/2005,11/01/2005,12/01/2005,01/01/2006,02/01/2006,02/10/2006,03/01/2006,04/01/2006,05/01/2006,06/01/2006,07/01/2006,08/01/2006,09/01/2006,09/06/2006,10/01/2006,11/01/2006,12/01/2006,01/01/2007,02/01/2007,03/01/2007,04/01/2007,05/01/2007,06/01/2007,07/01/2007,08/01/2007,09/01/2007,10/01/2007,11/01/2007,12/01/2007,01/01/2008,02/01/2008,03/01/2008,04/01/2008,05/01/2008,06/01/2008,07/01/2008,08/01/2008,09/01/2008,10/01/2008,10/09/2008,11/01/2008,12/01/2008,01/01/2009,02/01/2009,03/01/2009,04/01/2009,05/01/2009,06/01/2009,07/01/2009,08/01/2009,09/01/2009,10/01/2009,11/01/2009,12/01/2009,01/01/2010,01/10/2010,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,11/10/2010,12/01/2010,12/10/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021
From Scotland's Environment website,Additional location,From Scotland's Aquaculture website,From Scotland's Environment website,From Scotland's Environment website,,,,From Scotland's Environment and Scotland's Aquaculture websites,"ODD, EVEN, WINTER, EQUAL OR UNCLEAR",,,,,REGULAR or ANOMALOUS,,,Farms with ANOMALOUS production cycles need more thought,YES NO or PROPOSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achintraid,(Kishorn Site 1),Kishorn A (South),ACH1,FS0709,,57.385217,-5.6208844,NG82473855,ODD,1299,0,809,Scottish Sea Farms Ltd,REGULAR,GO,,,,,YES,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,nan,nan,41,nan,90,nan,nan,135,nan,nan,198,nan,nan,nan,278,nan,nan,394,nan,nan,485,nan,540,nan,598,nan,nan,482,nan,nan,638,nan,709,nan,889,nan,nan,1094,nan,1181,nan,1080,nan,nan,nan,1169,nan,1082,nan,nan,828,nan,712,503,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27,nan,106,149,256,338,316,389,468,587,714,518,756,906,929,1106,1179,1203,1069,762,340,71,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,56,113,nan,170,nan,253,303,335,425,453,277,344,471,664,858,959,993,1063,1031,1023,944,855,969,1078,511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,49,90,167,237,329,424,532,679,809,928,1145,1275,1261,1070,527,398,122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Achnacroish,(Walters_Lismore East),Walters (East Lismore),FFMC41,FS0875,,56.50299,-5.49855,,EVEN,999,840,0,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98,nan,174,nan,nan,251,nan,nan,303,nan,422,nan,nan,572,nan,nan,608,nan,nan,nan,607,nan,nan,712,nan,nan,767,nan,857,nan,809,nan,nan,886,nan,nan,938,nan,980,nan,595,nan,nan,704,nan,334,nan,nan,nan,nan,nan,nan,nan,18,nan,nan,30,nan,38,46,71,105,147,267,321,405,431,469,520,557,679,823,797,679,nan,693,775,858,894,209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67,242,289,347,284,317,272,157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,304,388,428,496,549,533,591,669,756,857,813,770,791,nan,71,nan,4,13,25,41,75,130,185,252,nan,307,nan,351,380,440,500,576,709,830,937,979,997,974,636,507,69,nan,17,43,67,126,200,268,392,459,559,594,649,735,807,943,989,889,956,813,418,nan,nan,nan,nan,nan,28,53,100,178,258,349,454,564,615,700,778,873,938,980,999,981,998,474,nan,nan,nan,18,34,57,85,130,188,294,439,599,749,897,969,988,996,959,512,nan,nan,nan,nan,nan,nan,nan,24,85,121,144,167,233,292,391,558,717,883,988,955,928,689,647,430,366,277,nan,nan,nan,nan,nan,45,69,105,154,229,362,475,585,702,840,933,939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aird Ardheslaig,,Aird,AIR1,FS0594,,57.54038,-5.69536,,ODD,1750,354,1372,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,160,81,nan,39,nan,nan,54,nan,63,nan,84,nan,164,nan,270,nan,nan,388,nan,nan,526,nan,635,nan,nan,836,nan,nan,934,nan,nan,nan,1024,nan,nan,1064,nan,nan,1165,nan,1294,nan,1128,nan,nan,1152,nan,nan,1326,nan,645,nan,625,nan,nan,61,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,nan,nan,42,nan,59,85,126,220,307,457,544,696,773,900,1051,1225,854,1043,1311,1496,nan,1222,678,678,nan,nan,nan,nan,84,101,135,186,332,551,790,nan,776,851,1031,1088,1153,1304,1361,1363,1339,1440,1418,1436,1372,600,600,nan,nan,36,93,145,219,263,534,773,998,nan,1240,1274,1068,821,919,1025,962,1151,1296,1328,1420,1325,1348,1285,847,nan,847,nan,nan,nan,nan,nan,nan,nan,414,549,nan,670,nan,775,895,967,1043,1208,1373,1332,1091,627,454,280,280,nan,nan,84,107,157,233,348,428,589,678,803,923,1127,773,870,999,886,1010,1143,885,581,482,482,nan,nan,56,65,106,172,257,379,549,713,911,955,864,989,1057,1124,1127,914,824,864,864,nan,nan,nan,nan,71,123,180,251,348,494,663,798,1027,1239,1341,774,889,1089,1231,1358,1465,1600,1367,1391,863,496,nan,116,162,244,351,431,574,696,965,1171,1573,1682,1731,1216,1288,1338,1348,1287,1372,1363,1373,1142,146,nan,nan,25,45,95,153,237,354,491,678,860,1185,1360,1304,1565,1653,1632,1678,1680,992,1148,1294,1270,969
Aird Point,(Etive 4),Etive 4,APT1,FS1112,,56.45504,-5.26088,,EVEN,1545.3,258,984,Dawnfresh Farming Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75,142,304,384,nan,nan,nan,nan,nan,226,263,295,256,193,203,205,74,74,nan,nan,30,nan,163,218,262,304,397,465,527,479,436,378,nan,378,nan,357,396,328,287,203,159,97,35,nan,nan,82,359,397,567,513,666,711,868,744,960,807,944,957,940,929,771,698,685,574,408,397,383,301,204,75,270,396,434,532,617,622,653,529,635,879,853,839,752,825,709,690,553,386,209,nan,nan,154,387,528,551,640,829,860,910,1086,1149,1089,866,668,604,482,344,51,nan,nan,194,319,417,581,692,788,876,786,855,897,913,993,1037,985,964,976,935,882,796,776,798,717,301,36,nan,258,392,590,638,735,753,766,815,771,814,1032,1036,984,990,1097,1172,1074,1022,1025,811,792,582,317,218,787,947,921,801,434
Allt a Chois,(Kishorn North Shore),Kishorn B (North),AAC3,FS0804,,57.37681,-5.67831,,ODD,1900,0,1007,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,nan,nan,23,nan,nan,34,nan,nan,nan,48,nan,nan,75,nan,nan,98,nan,138,nan,207,nan,nan,508,nan,nan,643,nan,828,nan,1015,nan,nan,1245,nan,1271,nan,1445,nan,nan,nan,1414,nan,1259,nan,nan,1163,nan,671,279,131,24,nan,41,50,82,86,107,152,167,224,288,425,565,nan,738,924,979,1287,1456,1411,nan,1358,930,287,nan,nan,nan,nan,nan,nan,nan,nan,nan,111,159,223,204,309,678,890,976,1172,1143,1288,1355,1228,1146,860,583,481,476,224,nan,nan,nan,nan,nan,nan,76,98,360,449,573,786,1096,1351,1513,1683,1865,1896,nan,1873,1812,1105,751,356,37,nan,nan,nan,nan,nan,nan,nan,nan,62,84,106,406,567,706,882,1066,1446,1681,1773,1887,1887,1662,1235,1037,832,375,nan,nan,22,22,94,133,190,269,333,444,534,712,969,1156,1353,1669,1696,1653,1457,1125,596,89,nan,nan,7,30,89,205,300,484,654,810,1027,1242,1281,1149,1481,1668,1627,1351,1486,1611,1566,1243,838,722,201,nan,nan,21,46,91,147,270,384,519,675,830,1017,1235,1432,1508,1142,564,nan,nan,nan,nan,nan,nan,nan,nan,nan,209,271,322,389,410,504,621,655,753,753,743,836,881,466,nan,nan,nan,nan,nan,nan,nan,nan,75,116,209,315,406,560,666,727,817,901,1007,1105,1293,1357,1098
Am Maol,_ Isle of Muck,Muck,AMM1,FS1286,,56.84339,-6.21204,,ODD,3500,0,2855,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93,112,248,319,534,596,690,807,971,1178,1346,1828,2212,2269,2470,2400,1634,1404,545,81,135,193,325,499,822,1281,1728,2038,2448,2454,2457,2498,2453,2471,2152,1160,212,nan,1224,1502,1495,1312,1163,990,486,nan,nan,127,216,422,742,942,1187,1454,1762,2108,2508,2855,3070,3443,3280,3049,2154,2210,2707,2733,661,nan,nan,nan,nan,310,344,419,524,731,952,1072,1080,1279,1533,1838,2079,2588,2990,2650
An Camas,(East),An Camus,ACAM2,FS1341 ,,57.1374,-7.2487,NF82581742,EVEN,1471,0,653,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,653,769,785,1361,1364,1456,1710,1761,1756,1359,384,nan,nan,nan,nan,nan,nan
Ardcastle,,Ardcastle,FFMC43,FS0818,,56.08067,-5.2865,,EVEN,1752.5,705,410,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,nan,404,nan,nan,417,nan,nan,444,nan,nan,nan,360,nan,nan,383,nan,nan,410,nan,62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,215,243,332,364,419,439,434,469,276,286,318,376,405,nan,nan,nan,nan,nan,nan,nan,nan,264,nan,319,392,238,262,327,376,446,nan,429,448,404,424,418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,47,74,116,189,296,403,506,nan,666,777,798,887,938,1050,1239,1323,1588,1672,1482,1134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,398,1074,nan,1253,nan,937,884,698,571,275,275,nan,nan,23,56,85,108,182,229,322,434,569,665,846,994,1043,1210,1198,1233,1048,1125,554,152,152,nan,nan,nan,nan,45,80,126,168,224,227,292,397,525,697,764,983,1220,1315,1336,1210,1174,988,648,119,119,nan,nan,nan,35,76,99,144,188,249,226,289,406,593,747,807,874,918,1019,1153,1204,1122,738,589,59,nan,14,53,111,195,284,373,442,527,527,588,705,809,1221,1185,1357,1360,1363,1222,932,1003,1219,883,17,nan,nan,48,91,213,336,447,584,542,606,705,815,1038,1289,1496,1615,1415,920,852,852,536,389,410,nan,nan,nan,54
Ardessie A,,Ardessie A,LIT1,FS0517,,57.85859,-5.29429,,UNCLEAR,196.5,15,53,Wester Ross Fsheries Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69,96,106,121,126,161,174,205,179,118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85,94,100,102,105,121,132,140,146,129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98,104,109,117,117,90,85,55,50,18,nan,105,121,134,145,140,90,45,nan,nan,nan,nan,nan,144,146,137,154,152,140,113,82,54,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,50,75,89,107,161,194,217,208,199,184,87,nan,10,13,20,34,59,97,138,171,185,204,239,255,230,190,184,188,126,27,nan,23,36,51,68,83,108,136,155,165,163,72,35,40,57,60,63,32,nan,nan,15,21,32,51,70,95,122,149,184,190,176,143,53,132,147,161,167,170,177,178,155,148,159,80,nan,126,148,158,155
